id,tpp,interface,chn,min,max,mean,std,kks
140,gujiao,4DCS.40HFE26AA101AI,F磨入口热风调门开度反馈,0.0000,100.0000,0.6212,0.2006,4DCS.40HFE26AA101AI
141,gujiao,4DCS.41HLB11AA101AI,1号一次风机动叶调节执行机构反,0.0000,100.0000,0.6809,0.0804,4DCS.41HLB11AA101AI
142,gujiao,F_layer_damper,炉前F层风门开度反馈,0.0000,100.0000,0.1966,0.0659,4DCS.40HLA45AA100AI 4DCS.40HLA55AA100AI
143,gujiao,D_layer_damper,炉前D层风门开度反馈,0.0000,100.0000,0.1763,0.0566,4DCS.40HLA46AA100AI 4DCS.40HLA56AA100AI
144,gujiao,B_layer_damper,炉前B层风门开度反馈,0.0000,100.0000,0.1873,0.0814,4DCS.40HLA47AA100AI 4DCS.40HLA57AA100AI
145,gujiao,burnout_wind_damper1,炉前过燃风风门开度反馈,0.0000,100.0000,0.6487,0.1080,4DCS.40HLA48AA100AI 4DCS.40HLA58AA100AI
146,gujiao,burnout_wind_damper2,炉后过燃风风门开度反馈,0.0000,100.0000,0.6400,0.1013,4DCS.40HLA44AA100AI 4DCS.40HLA54AA100AI
147,gujiao,A_layer_damper,炉后A层风门开度反馈,0.0000,100.0000,0.1592,0.0685,4DCS.40HLA43AA100AI 4DCS.40HLA53AA100AI
148,gujiao,C_layer_damper,炉后C层风门开度反馈,0.0000,100.0000,0.2023,0.0566,4DCS.40HLA42AA100AI 4DCS.40HLA52AA100AI
149,gujiao,E_layer_damper,炉后E层风门开度反馈,0.0000,100.0000,0.1744,0.0609,4DCS.40HLA41AA100AI 4DCS.40HLA51AA100AI
150,gujiao,blower_fan,送风机动叶调节执行机构反馈,0.0000,100.0000,0.3377,0.0704,4DCS.42HLB12AA101AI 4DCS.42HLB11AA101AI
151,gujiao,induced_draft_fan,引风机动叶调节执行机构反馈,0.0000,100.0000,0.6969,0.0837,4DCS.40HNC12AA101AI 4DCS.40HNC11AA101AI
152,gujiao,4DCS.40LAE12AA501AI,A侧一级过热器减温水调节阀阀位,0.0000,100.0000,0.3259,0.2853,4DCS.40LAE12AA501AI
153,gujiao,4DCS.40LAE14AA501AI,B侧一级过热器减温水调节阀控制,0.0000,100.0000,0.2738,0.2241,4DCS.40LAE14AA501AI
154,gujiao,4DCS.40LAE11AA501AI,A侧二级过热器减温水调节阀阀位,0.0000,100.0000,0.2440,0.2139,4DCS.40LAE11AA501AI
155,gujiao,4DCS.40LAE13AA501AI,B侧二级过热器减温水调节阀阀位,0.0000,100.0000,0.2224,0.1692,4DCS.40LAE13AA501AI
156,gujiao,4DCS.40HBK72AA101AVG,过热器烟气挡板平均值,0.0000,100.0000,0.7608,0.2723,4DCS.40HBK72AA101AVG
157,gujiao,4DCS.40HBK73AA101AVG,再热器烟气挡板平均值,0.0000,100.0000,0.7631,0.2648,4DCS.40HBK73AA101AVG
158,gujiao,extra_coal,额外给煤量,-75.0000,75.0000,0.4999,0.1464,
159,gujiao,conditionA,单耗A,0.8000,2.0000,0.4790,0.0868,
160,gujiao,conditionB,单耗B,0.8000,2.0000,0.2521,0.0998,
161,gujiao,conditionC,单耗C,0.8000,2.0000,0.5470,0.0898,
162,gujiao,conditionD,单耗D,0.8000,2.0000,0.4935,0.1535,
163,gujiao,conditionE,单耗E,0.8000,2.0000,0.4451,0.1038,
164,gujiao,conditionF,单耗F,0.8000,2.0000,0.5177,0.1607,
165,gujiao,date,date,0.0000,1.0000,,,
